ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	boat	LARGE	44	0	255	255	0.69542485	1.0	1.0	-
2	barn	MEDIUM	255	61	0	255	0.03986928	1.0	1.0	-
3	temple	SMALL	0	72	255	255	0.61960787	1.0	1.0	-
4	monitor	LARGE	9	255	0	255	0.327451	1.0	1.0	-
5	arrow	SMALL	255	0	139	255	0.9091503	1.0	1.0	-
6	mountain	MEDIUM	248	255	0	255	0.17124183	1.0	1.0	-
7	crown	SMALL	255	54	0	255	0.035294116	1.0	1.0	-
8	chicken	LARGE	0	255	226	255	0.48104575	1.0	1.0	-
9	chevron	MEDIUM	17	0	255	255	0.67777777	1.0	1.0	-
10	goose	SMALL	0	255	114	255	0.4078431	1.0	1.0	-
11	spikes	MEDIUM	255	0	166	255	0.8915033	1.0	1.0	-
12	rock	LARGE	255	0	248	255	0.8379085	1.0	1.0	-
13	lozenge	SMALL	0	255	171	255	0.44509804	1.0	1.0	-
14	head	LARGE	255	0	104	255	0.93202615	1.0	1.0	-
15	giraffe	MEDIUM	255	92	0	255	0.060130715	1.0	1.0	-
16	wedge	SMALL	255	80	0	255	0.05228758	1.0	1.0	-
17	bridge	LARGE	255	0	95	255	0.93790853	1.0	1.0	-
18	monitor	MEDIUM	97	0	255	255	0.73006535	1.0	1.0	-
19	head	LARGE	89	255	0	255	0.2751634	1.0	1.0	-
20	barn	MEDIUM	174	255	0	255	0.21960783	1.0	1.0	-
