ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	temple	MEDIUM	175	255	0	255	0.21895425	1.0	1.0	-
2	wedge	SMALL	85	255	0	255	0.2777778	1.0	1.0	-
3	giraffe	LARGE	99	0	255	255	0.73137254	1.0	1.0	-
4	monitor	MEDIUM	98	0	255	255	0.7307189	1.0	1.0	-
5	boat	LARGE	255	0	84	255	0.94509804	1.0	1.0	-
6	mountain	SMALL	255	135	0	255	0.0882353	1.0	1.0	-
7	barn	MEDIUM	0	255	197	255	0.46209148	1.0	1.0	-
8	lozenge	LARGE	0	255	198	255	0.4627451	1.0	1.0	-
9	chevron	SMALL	131	0	255	255	0.75228757	1.0	1.0	-
10	head	MEDIUM	255	0	246	255	0.8392157	1.0	1.0	-
11	crown	LARGE	0	255	144	255	0.42745098	1.0	1.0	-
12	goose	SMALL	0	255	176	255	0.44836602	1.0	1.0	-
13	bridge	MEDIUM	244	0	255	255	0.8261438	1.0	1.0	-
14	rock	SMALL	0	255	238	255	0.4888889	1.0	1.0	-
15	arrow	LARGE	143	0	255	255	0.7601307	1.0	1.0	-
16	chicken	SMALL	240	255	0	255	0.1764706	1.0	1.0	-
17	spikes	LARGE	0	255	19	255	0.34575164	1.0	1.0	-
18	chevron	MEDIUM	47	0	255	255	0.6973856	1.0	1.0	-
19	wedge	SMALL	0	84	255	255	0.6117647	1.0	1.0	-
20	crown	LARGE	255	0	122	255	0.92026144	1.0	1.0	-
