EVENT	ROUND	SCORE	TIME	NAME	SUBMITTER	ENTITY	REFERENT	SELECTED	SHAPE	EDGE_COUNT	SIZE	RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	POSITION_X	POSITION_Y
1	1	0	8.043	nextturn.request	A	1	false	false	giraffe	9	0.04	255	72	0	255	0.04705882	1.0	1.0	0.7	0.1
1	1	0	8.043	nextturn.request	A	2	false	false	barn	6	0.01	0	96	255	255	0.6039216	1.0	1.0	0.05	0.45
1	1	0	8.043	nextturn.request	A	3	true	false	monitor	8	0.0225	255	0	179	255	0.8830065	1.0	1.0	0.225	0.925
1	1	0	8.043	nextturn.request	A	4	false	false	spikes	13	0.01	255	0	130	255	0.9150327	1.0	1.0	0.35	0.85
1	1	0	8.043	nextturn.request	A	5	false	false	goose	12	0.0225	0	255	65	255	0.37581697	1.0	1.0	0.375	0.275
1	1	0	8.043	nextturn.request	A	6	false	false	head	10	0.04	135	255	0	255	0.24509804	1.0	1.0	0.7	0.3
1	1	0	8.043	nextturn.request	A	7	false	false	crown	10	0.0225	255	12	0	255	0.007843137	1.0	1.0	0.475	0.575
1	1	0	8.043	nextturn.request	A	8	false	false	chicken	12	0.04	255	0	40	255	0.9738562	1.0	1.0	0.2	0.45
1	1	0	8.043	nextturn.request	A	9	false	false	wedge	6	0.01	87	0	255	255	0.7235294	1.0	1.0	0.3	0.6
1	1	0	8.043	nextturn.request	A	10	false	false	arrow	8	0.04	252	0	255	255	0.83137256	1.0	1.0	0.2	0.2
1	1	0	8.043	nextturn.request	A	11	false	false	lozenge	6	0.01	0	67	255	255	0.62287587	1.0	1.0	0.85	0.95
1	1	0	8.043	nextturn.request	A	12	false	false	mountain	7	0.0225	255	0	91	255	0.9405229	1.0	1.0	0.925	0.575
1	1	0	8.043	nextturn.request	A	13	false	false	rock	7	0.01	121	255	0	255	0.25424838	1.0	1.0	0.35	0.4
1	1	0	8.043	nextturn.request	A	14	false	false	boat	9	0.0225	255	0	248	255	0.8379085	1.0	1.0	0.725	0.725
1	1	0	8.043	nextturn.request	A	15	false	false	temple	16	0.04	187	255	0	255	0.21111111	1.0	1.0	0.9	0.15
1	1	0	8.043	nextturn.request	A	16	false	false	chevron	6	0.01	0	126	255	255	0.5843137	1.0	1.0	0.85	0.75
1	1	0	8.043	nextturn.request	A	17	false	false	bridge	12	0.0225	0	255	247	255	0.49477124	1.0	1.0	0.575	0.875
1	1	0	8.043	nextturn.request	A	18	false	false	lozenge	6	0.04	255	229	0	255	0.14967321	1.0	1.0	0.4	0.1
1	1	0	8.043	nextturn.request	A	19	false	false	giraffe	9	0.0225	0	255	13	255	0.34183004	1.0	1.0	0.925	0.325
1	1	0	8.043	nextturn.request	A	20	false	false	boat	9	0.01	0	255	84	255	0.3882353	1.0	1.0	0.05	0.85
2	1	0	40.647	selection.request	B	1	false	false	giraffe	9	0.04	255	72	0	255	0.04705882	1.0	1.0	0.7	0.1
2	1	0	40.647	selection.request	B	2	false	false	barn	6	0.01	0	96	255	255	0.6039216	1.0	1.0	0.05	0.45
2	1	0	40.647	selection.request	B	3	true	true	monitor	8	0.0225	255	0	179	255	0.8830065	1.0	1.0	0.125	0.625
2	1	0	40.647	selection.request	B	4	false	false	spikes	13	0.01	255	0	130	255	0.9150327	1.0	1.0	0.35	0.85
2	1	0	40.647	selection.request	B	5	false	false	goose	12	0.0225	0	255	65	255	0.37581697	1.0	1.0	0.375	0.275
2	1	0	40.647	selection.request	B	6	false	false	head	10	0.04	135	255	0	255	0.24509804	1.0	1.0	0.7	0.3
2	1	0	40.647	selection.request	B	7	false	false	crown	10	0.0225	255	12	0	255	0.007843137	1.0	1.0	0.475	0.575
2	1	0	40.647	selection.request	B	8	false	false	chicken	12	0.04	255	0	40	255	0.9738562	1.0	1.0	0.2	0.45
2	1	0	40.647	selection.request	B	9	false	false	wedge	6	0.01	87	0	255	255	0.7235294	1.0	1.0	0.3	0.6
2	1	0	40.647	selection.request	B	10	false	false	arrow	8	0.04	252	0	255	255	0.83137256	1.0	1.0	0.2	0.2
2	1	0	40.647	selection.request	B	11	false	false	lozenge	6	0.01	0	67	255	255	0.62287587	1.0	1.0	0.85	0.95
2	1	0	40.647	selection.request	B	12	false	false	mountain	7	0.0225	255	0	91	255	0.9405229	1.0	1.0	0.925	0.575
2	1	0	40.647	selection.request	B	13	false	false	rock	7	0.01	121	255	0	255	0.25424838	1.0	1.0	0.35	0.4
2	1	0	40.647	selection.request	B	14	false	false	boat	9	0.0225	255	0	248	255	0.8379085	1.0	1.0	0.725	0.725
2	1	0	40.647	selection.request	B	15	false	false	temple	16	0.04	187	255	0	255	0.21111111	1.0	1.0	0.9	0.15
2	1	0	40.647	selection.request	B	16	false	false	chevron	6	0.01	0	126	255	255	0.5843137	1.0	1.0	0.85	0.75
2	1	0	40.647	selection.request	B	17	false	false	bridge	12	0.0225	0	255	247	255	0.49477124	1.0	1.0	0.575	0.875
2	1	0	40.647	selection.request	B	18	false	false	lozenge	6	0.04	255	229	0	255	0.14967321	1.0	1.0	0.4	0.1
2	1	0	40.647	selection.request	B	19	false	false	giraffe	9	0.0225	0	255	13	255	0.34183004	1.0	1.0	0.925	0.325
2	1	0	40.647	selection.request	B	20	false	false	boat	9	0.01	0	255	84	255	0.3882353	1.0	1.0	0.05	0.85
3	1	1	42.55	completedturn.request	A	1	false	false	giraffe	9	0.04	255	72	0	255	0.04705882	1.0	1.0	0.7	0.1
3	1	1	42.55	completedturn.request	A	2	false	false	barn	6	0.01	0	96	255	255	0.6039216	1.0	1.0	0.05	0.45
3	1	1	42.55	completedturn.request	A	3	true	false	monitor	8	0.0225	255	0	179	255	0.8830065	1.0	1.0	0.125	0.625
3	1	1	42.55	completedturn.request	A	4	false	false	spikes	13	0.01	255	0	130	255	0.9150327	1.0	1.0	0.35	0.85
3	1	1	42.55	completedturn.request	A	5	false	false	goose	12	0.0225	0	255	65	255	0.37581697	1.0	1.0	0.375	0.275
3	1	1	42.55	completedturn.request	A	6	false	false	head	10	0.04	135	255	0	255	0.24509804	1.0	1.0	0.7	0.3
3	1	1	42.55	completedturn.request	A	7	false	false	crown	10	0.0225	255	12	0	255	0.007843137	1.0	1.0	0.475	0.575
3	1	1	42.55	completedturn.request	A	8	false	false	chicken	12	0.04	255	0	40	255	0.9738562	1.0	1.0	0.2	0.45
3	1	1	42.55	completedturn.request	A	9	false	false	wedge	6	0.01	87	0	255	255	0.7235294	1.0	1.0	0.3	0.6
3	1	1	42.55	completedturn.request	A	10	false	false	arrow	8	0.04	252	0	255	255	0.83137256	1.0	1.0	0.2	0.2
3	1	1	42.55	completedturn.request	A	11	false	false	lozenge	6	0.01	0	67	255	255	0.62287587	1.0	1.0	0.85	0.95
3	1	1	42.55	completedturn.request	A	12	false	false	mountain	7	0.0225	255	0	91	255	0.9405229	1.0	1.0	0.925	0.575
3	1	1	42.55	completedturn.request	A	13	false	false	rock	7	0.01	121	255	0	255	0.25424838	1.0	1.0	0.35	0.4
3	1	1	42.55	completedturn.request	A	14	false	false	boat	9	0.0225	255	0	248	255	0.8379085	1.0	1.0	0.725	0.725
