ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	giraffe	LARGE	255	72	0	255	0.04705882	1.0	1.0	-
2	barn	SMALL	0	96	255	255	0.6039216	1.0	1.0	-
3	monitor	MEDIUM	255	0	179	255	0.8830065	1.0	1.0	-
4	spikes	SMALL	255	0	130	255	0.9150327	1.0	1.0	-
5	goose	MEDIUM	0	255	65	255	0.37581697	1.0	1.0	-
6	head	LARGE	135	255	0	255	0.24509804	1.0	1.0	-
7	crown	MEDIUM	255	12	0	255	0.007843137	1.0	1.0	-
8	chicken	LARGE	255	0	40	255	0.9738562	1.0	1.0	-
9	wedge	SMALL	87	0	255	255	0.7235294	1.0	1.0	-
10	arrow	LARGE	252	0	255	255	0.83137256	1.0	1.0	-
11	lozenge	SMALL	0	67	255	255	0.62287587	1.0	1.0	-
12	mountain	MEDIUM	255	0	91	255	0.9405229	1.0	1.0	-
13	rock	SMALL	121	255	0	255	0.25424838	1.0	1.0	-
14	boat	MEDIUM	255	0	248	255	0.8379085	1.0	1.0	-
15	temple	LARGE	187	255	0	255	0.21111111	1.0	1.0	-
16	chevron	SMALL	0	126	255	255	0.5843137	1.0	1.0	-
17	bridge	MEDIUM	0	255	247	255	0.49477124	1.0	1.0	-
18	lozenge	LARGE	255	229	0	255	0.14967321	1.0	1.0	-
19	giraffe	MEDIUM	0	255	13	255	0.34183004	1.0	1.0	-
20	boat	SMALL	0	255	84	255	0.3882353	1.0	1.0	-
