ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	temple	LARGE	255	31	0	255	0.020261437	1.0	1.0	-
2	goose	SMALL	255	122	0	255	0.07973856	1.0	1.0	-
3	mountain	MEDIUM	255	19	0	255	0.0124183	1.0	1.0	-
4	arrow	LARGE	255	0	19	255	0.98758173	1.0	1.0	-
5	chicken	MEDIUM	35	0	255	255	0.6895425	1.0	1.0	-
6	barn	SMALL	0	226	255	255	0.5189543	1.0	1.0	-
7	rock	MEDIUM	84	0	255	255	0.7215686	1.0	1.0	-
8	chevron	LARGE	0	255	23	255	0.34836602	1.0	1.0	-
9	giraffe	SMALL	0	249	255	255	0.50392157	1.0	1.0	-
10	head	LARGE	255	65	0	255	0.042483658	1.0	1.0	-
11	bridge	SMALL	255	0	0	255	0.0	1.0	1.0	RED
12	wedge	MEDIUM	255	0	55	255	0.9640523	1.0	1.0	-
13	crown	SMALL	109	255	0	255	0.26209152	1.0	1.0	-
14	spikes	MEDIUM	255	198	0	255	0.12941177	1.0	1.0	-
15	lozenge	LARGE	0	5	255	255	0.6633987	1.0	1.0	-
16	monitor	MEDIUM	255	165	0	255	0.10784314	1.0	1.0	-
17	boat	LARGE	129	255	0	255	0.24901962	1.0	1.0	-
18	chicken	SMALL	0	255	209	255	0.4699346	1.0	1.0	-
19	head	MEDIUM	255	0	241	255	0.84248364	1.0	1.0	-
20	chevron	LARGE	125	0	255	255	0.74836606	1.0	1.0	-
