ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	boat	MEDIUM	201	255	0	255	0.2019608	1.0	1.0	-
2	spikes	SMALL	159	255	0	255	0.22941177	1.0	1.0	-
3	chicken	LARGE	0	196	255	255	0.53856206	1.0	1.0	-
4	giraffe	MEDIUM	188	255	0	255	0.21045752	1.0	1.0	-
5	temple	SMALL	116	0	255	255	0.7424836	1.0	1.0	-
6	barn	LARGE	0	255	130	255	0.41830066	1.0	1.0	-
7	chevron	SMALL	141	0	255	255	0.7588236	1.0	1.0	-
8	monitor	LARGE	0	255	65	255	0.37581697	1.0	1.0	-
9	lozenge	MEDIUM	255	89	0	255	0.05816993	1.0	1.0	-
10	goose	LARGE	0	255	3	255	0.33529413	1.0	1.0	-
11	rock	MEDIUM	255	0	240	255	0.84313726	1.0	1.0	-
12	bridge	SMALL	244	255	0	255	0.17385621	1.0	1.0	-
13	mountain	MEDIUM	255	0	210	255	0.8627451	1.0	1.0	-
14	wedge	LARGE	0	255	31	255	0.35359478	1.0	1.0	-
15	head	SMALL	0	42	255	255	0.6392157	1.0	1.0	-
16	crown	MEDIUM	255	101	0	255	0.06601307	1.0	1.0	-
17	arrow	LARGE	115	0	255	255	0.74183005	1.0	1.0	-
18	wedge	SMALL	0	255	216	255	0.4745098	1.0	1.0	-
19	spikes	MEDIUM	0	255	95	255	0.39542484	1.0	1.0	-
20	goose	LARGE	0	17	255	255	0.65555555	1.0	1.0	-
