ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	barn	MEDIUM	20	255	0	255	0.32026145	1.0	1.0	-
2	monitor	SMALL	0	255	203	255	0.46601307	1.0	1.0	-
3	lozenge	LARGE	255	253	0	255	0.16535948	1.0	1.0	-
4	spikes	MEDIUM	42	0	255	255	0.6941176	1.0	1.0	-
5	head	LARGE	87	0	255	255	0.7235294	1.0	1.0	-
6	mountain	SMALL	0	90	255	255	0.60784316	1.0	1.0	-
7	goose	LARGE	25	0	255	255	0.6830065	1.0	1.0	-
8	wedge	SMALL	0	255	5	255	0.3366013	1.0	1.0	-
9	boat	MEDIUM	255	80	0	255	0.05228758	1.0	1.0	-
10	giraffe	LARGE	0	255	32	255	0.35424837	1.0	1.0	-
11	chicken	MEDIUM	255	180	0	255	0.11764705	1.0	1.0	-
12	crown	SMALL	128	255	0	255	0.2496732	1.0	1.0	-
13	temple	LARGE	255	203	0	255	0.13267975	1.0	1.0	-
14	chevron	SMALL	182	255	0	255	0.21437907	1.0	1.0	-
15	arrow	MEDIUM	110	255	0	255	0.2614379	1.0	1.0	-
16	rock	SMALL	0	0	255	255	0.6666667	1.0	1.0	BLUE
17	bridge	MEDIUM	0	255	82	255	0.38692808	1.0	1.0	-
18	wedge	LARGE	255	99	0	255	0.06470588	1.0	1.0	-
19	head	SMALL	210	0	255	255	0.8039215	1.0	1.0	-
20	barn	MEDIUM	0	255	230	255	0.48366013	1.0	1.0	-
