ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	chicken	MEDIUM	255	60	0	255	0.039215684	1.0	1.0	-
2	arrow	LARGE	151	0	255	255	0.76535946	1.0	1.0	-
3	chevron	SMALL	0	255	78	255	0.38431373	1.0	1.0	-
4	head	MEDIUM	58	255	0	255	0.29542485	1.0	1.0	-
5	wedge	LARGE	139	0	255	255	0.7575163	1.0	1.0	-
6	spikes	SMALL	172	255	0	255	0.22091503	1.0	1.0	-
7	monitor	MEDIUM	0	255	208	255	0.46928105	1.0	1.0	-
8	barn	LARGE	255	73	0	255	0.047712415	1.0	1.0	-
9	rock	SMALL	200	255	0	255	0.20261438	1.0	1.0	-
10	giraffe	LARGE	0	255	119	255	0.41111112	1.0	1.0	-
11	boat	SMALL	0	255	197	255	0.46209148	1.0	1.0	-
12	goose	MEDIUM	255	108	0	255	0.07058823	1.0	1.0	-
13	mountain	LARGE	0	138	255	255	0.5764706	1.0	1.0	-
14	crown	SMALL	0	92	255	255	0.6065359	1.0	1.0	-
15	bridge	MEDIUM	71	255	0	255	0.2869281	1.0	1.0	-
16	temple	LARGE	0	55	255	255	0.63071895	1.0	1.0	-
17	lozenge	SMALL	116	0	255	255	0.7424836	1.0	1.0	-
18	monitor	MEDIUM	19	255	0	255	0.320915	1.0	1.0	-
19	barn	LARGE	0	255	26	255	0.35032678	1.0	1.0	-
20	spikes	SMALL	0	255	68	255	0.37777779	1.0	1.0	-
