ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	barn	SMALL	255	240	0	255	0.15686275	1.0	1.0	-
2	chicken	MEDIUM	209	0	255	255	0.80326796	1.0	1.0	-
3	bridge	LARGE	255	81	0	255	0.052941173	1.0	1.0	-
4	mountain	MEDIUM	255	0	220	255	0.85620916	1.0	1.0	-
5	chevron	LARGE	144	0	255	255	0.7607843	1.0	1.0	-
6	monitor	SMALL	68	255	0	255	0.2888889	1.0	1.0	-
7	boat	LARGE	0	255	99	255	0.39803922	1.0	1.0	-
8	crown	SMALL	255	0	164	255	0.89281046	1.0	1.0	-
9	lozenge	MEDIUM	255	0	125	255	0.9183006	1.0	1.0	-
10	goose	LARGE	25	0	255	255	0.6830065	1.0	1.0	-
11	rock	SMALL	0	120	255	255	0.5882353	1.0	1.0	-
12	wedge	MEDIUM	0	255	133	255	0.4202614	1.0	1.0	-
13	arrow	LARGE	117	0	255	255	0.7431373	1.0	1.0	-
14	temple	SMALL	255	36	0	255	0.02352941	1.0	1.0	-
15	spikes	MEDIUM	114	0	255	255	0.7411764	1.0	1.0	-
16	giraffe	LARGE	139	0	255	255	0.7575163	1.0	1.0	-
17	head	MEDIUM	255	88	0	255	0.057516336	1.0	1.0	-
18	temple	SMALL	255	0	118	255	0.9228758	1.0	1.0	-
19	monitor	MEDIUM	255	0	77	255	0.9496732	1.0	1.0	-
20	goose	LARGE	0	255	225	255	0.48039213	1.0	1.0	-
