END_SCORE	78
ENTITY_COUNT	20
EVENT_COUNT	243
EXPERIMENT_VERSION	2017-04-07T10:18:33Z, git commit ae838e8
GAME_DURATION	952.957
GAME_ID	13
INITIAL_INSTRUCTOR_ID	A
MOVE_DELAY	0
ROUND_COUNT	81
START_TIME	2017-04-08T15:55:52.331+02:00
ANNOTATOR_IDS	1
EXPERIMENTER_ID	1
