ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	boat	SMALL	255	0	173	255	0.8869281	1.0	1.0	-
2	head	LARGE	0	255	116	255	0.40915033	1.0	1.0	-
3	giraffe	MEDIUM	148	0	255	255	0.7633987	1.0	1.0	-
4	lozenge	SMALL	255	78	0	255	0.05098039	1.0	1.0	-
5	goose	MEDIUM	255	0	144	255	0.90588236	1.0	1.0	-
6	spikes	LARGE	255	247	0	255	0.16143791	1.0	1.0	-
7	wedge	SMALL	173	255	0	255	0.22026145	1.0	1.0	-
8	temple	LARGE	255	31	0	255	0.020261437	1.0	1.0	-
9	mountain	MEDIUM	0	255	102	255	0.4	1.0	1.0	-
10	chicken	LARGE	0	155	255	255	0.56535953	1.0	1.0	-
11	chevron	SMALL	0	255	118	255	0.41045752	1.0	1.0	-
12	bridge	MEDIUM	7	255	0	255	0.32875815	1.0	1.0	-
13	crown	LARGE	82	0	255	255	0.7202614	1.0	1.0	-
14	arrow	MEDIUM	147	0	255	255	0.7627451	1.0	1.0	-
15	barn	SMALL	255	0	73	255	0.95228755	1.0	1.0	-
16	monitor	MEDIUM	79	0	255	255	0.71830064	1.0	1.0	-
17	rock	SMALL	97	0	255	255	0.73006535	1.0	1.0	-
18	arrow	LARGE	0	255	170	255	0.44444445	1.0	1.0	-
19	rock	SMALL	255	0	212	255	0.8614379	1.0	1.0	-
20	chicken	LARGE	255	124	0	255	0.08104575	1.0	1.0	-
