ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	wedge	LARGE	183	255	0	255	0.21372549	1.0	1.0	-
2	boat	SMALL	255	0	28	255	0.98169935	1.0	1.0	-
3	spikes	MEDIUM	255	40	0	255	0.02614379	1.0	1.0	-
4	rock	SMALL	0	255	155	255	0.43464053	1.0	1.0	-
5	giraffe	LARGE	0	255	144	255	0.42745098	1.0	1.0	-
6	mountain	MEDIUM	255	67	0	255	0.043790847	1.0	1.0	-
7	monitor	LARGE	221	255	0	255	0.1888889	1.0	1.0	-
8	temple	SMALL	146	255	0	255	0.23790848	1.0	1.0	-
9	crown	MEDIUM	255	0	138	255	0.9098039	1.0	1.0	-
10	lozenge	SMALL	0	255	101	255	0.39934638	1.0	1.0	-
11	chevron	MEDIUM	72	255	0	255	0.28627452	1.0	1.0	-
12	bridge	LARGE	0	255	161	255	0.43856207	1.0	1.0	-
13	goose	MEDIUM	73	0	255	255	0.7143791	1.0	1.0	-
14	arrow	LARGE	0	57	255	255	0.62941176	1.0	1.0	-
15	chicken	SMALL	0	255	34	255	0.35555553	1.0	1.0	-
16	head	LARGE	0	175	255	255	0.5522876	1.0	1.0	-
17	barn	MEDIUM	255	0	135	255	0.9117647	1.0	1.0	-
18	arrow	SMALL	0	255	31	255	0.35359478	1.0	1.0	-
19	giraffe	LARGE	97	0	255	255	0.73006535	1.0	1.0	-
20	monitor	SMALL	5	0	255	255	0.6699347	1.0	1.0	-
