END_SCORE	118
ENTITY_COUNT	20
EVENT_COUNT	434
EXPERIMENT_VERSION	2017-04-10T13:31:03Z, git commit c1c111a
GAME_DURATION	899.89
GAME_ID	20
INITIAL_INSTRUCTOR_ID	A
MOVE_DELAY	0
ROUND_COUNT	138
START_TIME	2017-04-10T16:44:07.93+02:00
ANNOTATOR_IDS	1
EXPERIMENTER_ID	1
