ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	lozenge	MEDIUM	203	255	0	255	0.2006536	1.0	1.0	-
2	wedge	LARGE	0	255	55	255	0.36928105	1.0	1.0	-
3	monitor	SMALL	191	255	0	255	0.20849673	1.0	1.0	-
4	giraffe	MEDIUM	0	133	255	255	0.57973856	1.0	1.0	-
5	head	SMALL	60	0	255	255	0.7058824	1.0	1.0	-
6	arrow	LARGE	0	190	255	255	0.5424836	1.0	1.0	-
7	barn	MEDIUM	0	41	255	255	0.6398693	1.0	1.0	-
8	crown	LARGE	255	176	0	255	0.11503267	1.0	1.0	-
9	boat	SMALL	255	192	0	255	0.1254902	1.0	1.0	-
10	bridge	LARGE	148	0	255	255	0.7633987	1.0	1.0	-
11	spikes	MEDIUM	170	0	255	255	0.77777773	1.0	1.0	-
12	rock	SMALL	255	81	0	255	0.052941173	1.0	1.0	-
13	temple	LARGE	255	0	161	255	0.8947712	1.0	1.0	-
14	goose	MEDIUM	98	0	255	255	0.7307189	1.0	1.0	-
15	mountain	SMALL	19	0	255	255	0.67908496	1.0	1.0	-
16	chicken	LARGE	255	0	103	255	0.9326798	1.0	1.0	-
17	chevron	MEDIUM	202	0	255	255	0.79869276	1.0	1.0	-
18	barn	SMALL	255	23	0	255	0.015032679	1.0	1.0	-
19	lozenge	LARGE	0	255	7	255	0.3379085	1.0	1.0	-
20	wedge	SMALL	201	0	255	255	0.7980392	1.0	1.0	-
