ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	wedge	LARGE	0	255	6	255	0.3372549	1.0	1.0	-
2	arrow	SMALL	0	190	255	255	0.5424836	1.0	1.0	-
3	giraffe	MEDIUM	255	241	0	255	0.15751635	1.0	1.0	-
4	boat	SMALL	0	141	255	255	0.5745098	1.0	1.0	-
5	chevron	MEDIUM	255	99	0	255	0.06470588	1.0	1.0	-
6	spikes	LARGE	182	0	255	255	0.7856209	1.0	1.0	-
7	bridge	SMALL	115	0	255	255	0.74183005	1.0	1.0	-
8	rock	LARGE	255	235	0	255	0.15359478	1.0	1.0	-
9	chicken	MEDIUM	115	255	0	255	0.25816992	1.0	1.0	-
10	monitor	LARGE	0	48	255	255	0.63529414	1.0	1.0	-
11	crown	MEDIUM	0	191	255	255	0.54183006	1.0	1.0	-
12	barn	SMALL	161	0	255	255	0.7718954	1.0	1.0	-
13	goose	MEDIUM	0	255	159	255	0.4372549	1.0	1.0	-
14	lozenge	SMALL	0	255	51	255	0.36666667	1.0	1.0	-
15	head	LARGE	0	255	192	255	0.45882353	1.0	1.0	-
16	temple	SMALL	229	0	255	255	0.8163399	1.0	1.0	-
17	mountain	MEDIUM	255	6	0	255	0.0039215684	1.0	1.0	-
18	temple	LARGE	88	255	0	255	0.275817	1.0	1.0	-
19	lozenge	SMALL	164	0	255	255	0.7738562	1.0	1.0	-
20	goose	MEDIUM	195	255	0	255	0.20588236	1.0	1.0	-
