EVENT	ROUND	SCORE	TIME	NAME	SUBMITTER	ENTITY	REFERENT	SELECTED	SHAPE	EDGE_COUNT	SIZE	RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	POSITION_X	POSITION_Y
1	1	0	9.59	nextturn.request	A	1	true	false	temple	16	0.04	0	114	255	255	0.5921569	1.0	1.0	0.9	0.5
1	1	0	9.59	nextturn.request	A	2	false	false	lozenge	6	0.0225	255	0	30	255	0.98039216	1.0	1.0	0.225	0.125
1	1	0	9.59	nextturn.request	A	3	false	false	boat	9	0.01	0	255	91	255	0.39281046	1.0	1.0	0.4	0.2
1	1	0	9.59	nextturn.request	A	4	false	false	bridge	12	0.04	255	0	156	255	0.8980392	1.0	1.0	0.2	0.8
1	1	0	9.59	nextturn.request	A	5	false	false	barn	6	0.01	0	115	255	255	0.5915033	1.0	1.0	0.8	0.15
1	1	0	9.59	nextturn.request	A	6	false	false	monitor	8	0.0225	0	51	255	255	0.6333334	1.0	1.0	0.375	0.875
1	1	0	9.59	nextturn.request	A	7	false	false	chevron	6	0.01	0	96	255	255	0.6039216	1.0	1.0	0.65	0.85
1	1	0	9.59	nextturn.request	A	8	false	false	wedge	6	0.0225	0	220	255	255	0.5228758	1.0	1.0	0.675	0.225
1	1	0	9.59	nextturn.request	A	9	false	false	crown	10	0.04	255	0	230	255	0.8496732	1.0	1.0	0.65	0.55
1	1	0	9.59	nextturn.request	A	10	false	false	spikes	13	0.01	0	190	255	255	0.5424836	1.0	1.0	0.4	0.55
1	1	0	9.59	nextturn.request	A	11	false	false	goose	12	0.0225	255	0	49	255	0.9679738	1.0	1.0	0.375	0.375
1	1	0	9.59	nextturn.request	A	12	false	false	rock	7	0.04	44	0	255	255	0.69542485	1.0	1.0	0.1	0.4
1	1	0	9.59	nextturn.request	A	13	false	false	mountain	7	0.01	87	0	255	255	0.7235294	1.0	1.0	0.55	0.3
1	1	0	9.59	nextturn.request	A	14	false	false	chicken	12	0.04	0	255	148	255	0.43006536	1.0	1.0	0.85	0.7
1	1	0	9.59	nextturn.request	A	15	false	false	giraffe	9	0.0225	255	0	253	255	0.8346405	1.0	1.0	0.525	0.775
1	1	0	9.59	nextturn.request	A	16	false	false	head	10	0.01	37	255	0	255	0.30915034	1.0	1.0	0.85	0.05
1	1	0	9.59	nextturn.request	A	17	false	false	arrow	8	0.0225	109	255	0	255	0.26209152	1.0	1.0	0.525	0.125
1	1	0	9.59	nextturn.request	A	18	false	false	monitor	8	0.04	0	255	228	255	0.48235294	1.0	1.0	0.85	0.3
1	1	0	9.59	nextturn.request	A	19	false	false	giraffe	9	0.01	194	255	0	255	0.20653594	1.0	1.0	0.4	0.05
1	1	0	9.59	nextturn.request	A	20	false	false	chicken	12	0.04	255	0	219	255	0.8568627	1.0	1.0	0.1	0.6
2	1	0	27.53	selection.request	B	1	true	true	temple	16	0.04	0	114	255	255	0.5921569	1.0	1.0	0.85	0.9
2	1	0	27.53	selection.request	B	2	false	false	lozenge	6	0.0225	255	0	30	255	0.98039216	1.0	1.0	0.225	0.125
2	1	0	27.53	selection.request	B	3	false	false	boat	9	0.01	0	255	91	255	0.39281046	1.0	1.0	0.4	0.2
2	1	0	27.53	selection.request	B	4	false	false	bridge	12	0.04	255	0	156	255	0.8980392	1.0	1.0	0.2	0.8
2	1	0	27.53	selection.request	B	5	false	false	barn	6	0.01	0	115	255	255	0.5915033	1.0	1.0	0.8	0.15
2	1	0	27.53	selection.request	B	6	false	false	monitor	8	0.0225	0	51	255	255	0.6333334	1.0	1.0	0.375	0.875
2	1	0	27.53	selection.request	B	7	false	false	chevron	6	0.01	0	96	255	255	0.6039216	1.0	1.0	0.65	0.85
