ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	temple	LARGE	0	114	255	255	0.5921569	1.0	1.0	-
2	lozenge	MEDIUM	255	0	30	255	0.98039216	1.0	1.0	-
3	boat	SMALL	0	255	91	255	0.39281046	1.0	1.0	-
4	bridge	LARGE	255	0	156	255	0.8980392	1.0	1.0	-
5	barn	SMALL	0	115	255	255	0.5915033	1.0	1.0	-
6	monitor	MEDIUM	0	51	255	255	0.6333334	1.0	1.0	-
7	chevron	SMALL	0	96	255	255	0.6039216	1.0	1.0	-
8	wedge	MEDIUM	0	220	255	255	0.5228758	1.0	1.0	-
9	crown	LARGE	255	0	230	255	0.8496732	1.0	1.0	-
10	spikes	SMALL	0	190	255	255	0.5424836	1.0	1.0	-
11	goose	MEDIUM	255	0	49	255	0.9679738	1.0	1.0	-
12	rock	LARGE	44	0	255	255	0.69542485	1.0	1.0	-
13	mountain	SMALL	87	0	255	255	0.7235294	1.0	1.0	-
14	chicken	LARGE	0	255	148	255	0.43006536	1.0	1.0	-
15	giraffe	MEDIUM	255	0	253	255	0.8346405	1.0	1.0	-
16	head	SMALL	37	255	0	255	0.30915034	1.0	1.0	-
17	arrow	MEDIUM	109	255	0	255	0.26209152	1.0	1.0	-
18	monitor	LARGE	0	255	228	255	0.48235294	1.0	1.0	-
19	giraffe	SMALL	194	255	0	255	0.20653594	1.0	1.0	-
20	chicken	LARGE	255	0	219	255	0.8568627	1.0	1.0	-
