ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	temple	LARGE	255	154	0	255	0.10065359	1.0	1.0	-
2	crown	MEDIUM	255	0	136	255	0.9111111	1.0	1.0	-
3	lozenge	SMALL	255	0	96	255	0.9372549	1.0	1.0	-
4	barn	LARGE	255	0	56	255	0.9633987	1.0	1.0	-
5	rock	MEDIUM	255	0	49	255	0.9679738	1.0	1.0	-
6	bridge	SMALL	255	234	0	255	0.15294118	1.0	1.0	-
7	arrow	LARGE	67	0	255	255	0.7104575	1.0	1.0	-
8	mountain	MEDIUM	0	172	255	255	0.55424833	1.0	1.0	-
9	goose	SMALL	0	12	255	255	0.6588235	1.0	1.0	-
10	head	LARGE	0	255	113	255	0.40718952	1.0	1.0	-
11	chicken	SMALL	1	255	0	255	0.33267975	1.0	1.0	-
12	spikes	MEDIUM	255	0	81	255	0.9470588	1.0	1.0	-
13	boat	LARGE	255	244	0	255	0.15947713	1.0	1.0	-
14	monitor	SMALL	255	0	92	255	0.9398693	1.0	1.0	-
15	giraffe	MEDIUM	255	55	0	255	0.03594771	1.0	1.0	-
16	wedge	LARGE	192	255	0	255	0.20784314	1.0	1.0	-
17	chevron	SMALL	0	255	117	255	0.4098039	1.0	1.0	-
18	monitor	MEDIUM	255	9	0	255	0.0058823526	1.0	1.0	-
19	mountain	SMALL	98	0	255	255	0.7307189	1.0	1.0	-
20	boat	MEDIUM	0	255	235	255	0.4869281	1.0	1.0	-
