ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	arrow	SMALL	86	0	255	255	0.72287583	1.0	1.0	-
2	head	MEDIUM	109	0	255	255	0.73790854	1.0	1.0	-
3	spikes	LARGE	0	160	255	255	0.5620915	1.0	1.0	-
4	lozenge	SMALL	0	255	9	255	0.33921567	1.0	1.0	-
5	chevron	LARGE	255	0	51	255	0.9666667	1.0	1.0	-
6	rock	MEDIUM	0	255	23	255	0.34836602	1.0	1.0	-
7	bridge	SMALL	255	228	0	255	0.14901961	1.0	1.0	-
8	giraffe	MEDIUM	233	0	255	255	0.8189542	1.0	1.0	-
9	boat	LARGE	31	255	0	255	0.31307188	1.0	1.0	-
10	monitor	SMALL	0	255	229	255	0.4830065	1.0	1.0	-
11	barn	MEDIUM	0	255	235	255	0.4869281	1.0	1.0	-
12	chicken	LARGE	255	0	165	255	0.89215684	1.0	1.0	-
13	wedge	MEDIUM	71	255	0	255	0.2869281	1.0	1.0	-
14	mountain	LARGE	0	255	142	255	0.4261438	1.0	1.0	-
15	crown	SMALL	255	105	0	255	0.06862745	1.0	1.0	-
16	goose	LARGE	0	202	255	255	0.53464055	1.0	1.0	-
17	temple	MEDIUM	4	0	255	255	0.669281	1.0	1.0	-
18	chicken	SMALL	255	46	0	255	0.030065358	1.0	1.0	-
19	goose	LARGE	0	246	255	255	0.5058823	1.0	1.0	-
20	crown	SMALL	0	152	255	255	0.5673203	1.0	1.0	-
