ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	giraffe	LARGE	255	211	0	255	0.1379085	1.0	1.0	-
2	mountain	MEDIUM	0	182	255	255	0.5477124	1.0	1.0	-
3	arrow	SMALL	0	105	255	255	0.5980392	1.0	1.0	-
4	chicken	MEDIUM	255	0	163	255	0.893464	1.0	1.0	-
5	barn	LARGE	255	0	122	255	0.92026144	1.0	1.0	-
6	head	SMALL	255	0	113	255	0.92614377	1.0	1.0	-
7	rock	LARGE	0	163	255	255	0.5601308	1.0	1.0	-
8	chevron	SMALL	0	160	255	255	0.5620915	1.0	1.0	-
9	lozenge	MEDIUM	255	0	111	255	0.927451	1.0	1.0	-
10	bridge	LARGE	0	255	191	255	0.45816994	1.0	1.0	-
11	wedge	MEDIUM	0	14	255	255	0.6575163	1.0	1.0	-
12	goose	SMALL	38	0	255	255	0.6915033	1.0	1.0	-
13	spikes	LARGE	115	0	255	255	0.74183005	1.0	1.0	-
14	temple	MEDIUM	0	255	172	255	0.44575164	1.0	1.0	-
15	crown	SMALL	0	27	255	255	0.64901966	1.0	1.0	-
16	boat	LARGE	255	0	242	255	0.8418301	1.0	1.0	-
17	monitor	SMALL	96	255	0	255	0.27058825	1.0	1.0	-
18	chevron	MEDIUM	178	255	0	255	0.21699345	1.0	1.0	-
19	temple	SMALL	255	226	0	255	0.14771242	1.0	1.0	-
20	chicken	MEDIUM	0	255	211	255	0.47124183	1.0	1.0	-
