ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	rock	LARGE	62	255	0	255	0.29281044	1.0	1.0	-
2	giraffe	MEDIUM	0	255	168	255	0.44313726	1.0	1.0	-
3	head	SMALL	0	145	255	255	0.5718954	1.0	1.0	-
4	boat	MEDIUM	0	107	255	255	0.5967321	1.0	1.0	-
5	barn	LARGE	0	255	235	255	0.4869281	1.0	1.0	-
6	goose	SMALL	205	0	255	255	0.80065364	1.0	1.0	-
7	bridge	LARGE	225	255	0	255	0.18627453	1.0	1.0	-
8	mountain	SMALL	233	0	255	255	0.8189542	1.0	1.0	-
9	temple	MEDIUM	255	0	114	255	0.9254902	1.0	1.0	-
10	chevron	SMALL	255	126	0	255	0.082352936	1.0	1.0	-
11	chicken	LARGE	255	239	0	255	0.15620916	1.0	1.0	-
12	spikes	MEDIUM	255	0	76	255	0.9503268	1.0	1.0	-
13	wedge	LARGE	83	0	255	255	0.720915	1.0	1.0	-
14	arrow	SMALL	255	99	0	255	0.06470588	1.0	1.0	-
15	lozenge	MEDIUM	235	255	0	255	0.17973857	1.0	1.0	-
16	crown	LARGE	0	255	23	255	0.34836602	1.0	1.0	-
17	monitor	MEDIUM	128	255	0	255	0.2496732	1.0	1.0	-
18	chevron	SMALL	255	133	0	255	0.08692811	1.0	1.0	-
19	monitor	MEDIUM	19	0	255	255	0.67908496	1.0	1.0	-
20	goose	SMALL	204	0	255	255	0.8	1.0	1.0	-
