ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	giraffe	LARGE	0	255	58	255	0.3712418	1.0	1.0	-
2	crown	MEDIUM	255	253	0	255	0.16535948	1.0	1.0	-
3	lozenge	SMALL	0	205	255	255	0.53267974	1.0	1.0	-
4	rock	MEDIUM	255	75	0	255	0.049019605	1.0	1.0	-
5	bridge	LARGE	255	0	83	255	0.94575167	1.0	1.0	-
6	arrow	SMALL	255	0	207	255	0.86470586	1.0	1.0	-
7	chevron	LARGE	118	0	255	255	0.74379086	1.0	1.0	-
8	wedge	MEDIUM	0	18	255	255	0.654902	1.0	1.0	-
9	mountain	SMALL	255	0	228	255	0.8509804	1.0	1.0	-
10	chicken	MEDIUM	246	255	0	255	0.17254901	1.0	1.0	-
11	boat	LARGE	0	255	191	255	0.45816994	1.0	1.0	-
12	head	SMALL	171	255	0	255	0.22156863	1.0	1.0	-
13	barn	LARGE	0	255	204	255	0.46666667	1.0	1.0	-
14	goose	SMALL	0	58	255	255	0.6287582	1.0	1.0	-
15	spikes	MEDIUM	255	42	0	255	0.027450979	1.0	1.0	-
16	monitor	LARGE	176	0	255	255	0.78169936	1.0	1.0	-
17	temple	MEDIUM	255	0	253	255	0.8346405	1.0	1.0	-
18	boat	SMALL	255	6	0	255	0.0039215684	1.0	1.0	-
19	rock	LARGE	255	0	3	255	0.99803925	1.0	1.0	-
20	temple	SMALL	149	255	0	255	0.23594773	1.0	1.0	-
