ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	lozenge	SMALL	255	0	227	255	0.85163397	1.0	1.0	-
2	wedge	MEDIUM	255	0	96	255	0.9372549	1.0	1.0	-
3	spikes	LARGE	86	0	255	255	0.72287583	1.0	1.0	-
4	boat	MEDIUM	207	0	255	255	0.80196077	1.0	1.0	-
5	goose	LARGE	13	0	255	255	0.67516345	1.0	1.0	-
6	mountain	SMALL	197	255	0	255	0.20457518	1.0	1.0	-
7	head	LARGE	0	110	255	255	0.5947712	1.0	1.0	-
8	chicken	SMALL	255	42	0	255	0.027450979	1.0	1.0	-
9	crown	MEDIUM	0	255	165	255	0.44117644	1.0	1.0	-
10	temple	SMALL	0	39	255	255	0.64117646	1.0	1.0	-
11	giraffe	LARGE	255	0	133	255	0.9130719	1.0	1.0	-
12	chevron	MEDIUM	47	255	0	255	0.30261436	1.0	1.0	-
13	rock	LARGE	0	240	255	255	0.50980395	1.0	1.0	-
14	bridge	MEDIUM	0	173	255	255	0.55359477	1.0	1.0	-
15	monitor	SMALL	255	0	78	255	0.9490196	1.0	1.0	-
16	barn	LARGE	255	167	0	255	0.10915033	1.0	1.0	-
17	arrow	MEDIUM	255	165	0	255	0.10784314	1.0	1.0	-
18	chicken	SMALL	208	255	0	255	0.19738562	1.0	1.0	-
19	boat	MEDIUM	224	255	0	255	0.18692811	1.0	1.0	-
20	bridge	SMALL	255	12	0	255	0.007843137	1.0	1.0	-
