ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	giraffe	LARGE	0	255	183	255	0.45294118	1.0	1.0	-
2	wedge	MEDIUM	0	255	250	255	0.49673203	1.0	1.0	-
3	mountain	SMALL	255	0	77	255	0.9496732	1.0	1.0	-
4	temple	MEDIUM	0	224	255	255	0.52026147	1.0	1.0	-
5	chicken	LARGE	255	0	118	255	0.9228758	1.0	1.0	-
6	rock	SMALL	117	0	255	255	0.7431373	1.0	1.0	-
7	crown	MEDIUM	255	114	0	255	0.0745098	1.0	1.0	-
8	boat	SMALL	255	0	244	255	0.8405229	1.0	1.0	-
9	spikes	LARGE	61	255	0	255	0.29346406	1.0	1.0	-
10	lozenge	SMALL	255	51	0	255	0.03333333	1.0	1.0	-
11	barn	LARGE	255	0	151	255	0.90130717	1.0	1.0	-
12	head	MEDIUM	255	0	219	255	0.8568627	1.0	1.0	-
13	arrow	LARGE	99	0	255	255	0.73137254	1.0	1.0	-
14	chevron	SMALL	0	173	255	255	0.55359477	1.0	1.0	-
15	goose	MEDIUM	161	255	0	255	0.22810459	1.0	1.0	-
16	bridge	SMALL	255	0	22	255	0.9856209	1.0	1.0	-
17	monitor	LARGE	132	255	0	255	0.24705882	1.0	1.0	-
18	barn	MEDIUM	255	0	222	255	0.85490197	1.0	1.0	-
19	chevron	SMALL	255	6	0	255	0.0039215684	1.0	1.0	-
20	giraffe	MEDIUM	255	0	19	255	0.98758173	1.0	1.0	-
