ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	mountain	SMALL	255	95	0	255	0.0620915	1.0	1.0	-
2	lozenge	MEDIUM	52	255	0	255	0.29934642	1.0	1.0	-
3	bridge	LARGE	255	0	98	255	0.9359477	1.0	1.0	-
4	boat	MEDIUM	0	255	61	255	0.3732026	1.0	1.0	-
5	barn	LARGE	255	0	154	255	0.8993464	1.0	1.0	-
6	chicken	SMALL	71	255	0	255	0.2869281	1.0	1.0	-
7	spikes	LARGE	0	255	251	255	0.49738562	1.0	1.0	-
8	goose	MEDIUM	0	131	255	255	0.5810458	1.0	1.0	-
9	arrow	SMALL	255	0	150	255	0.9019608	1.0	1.0	-
10	temple	MEDIUM	0	76	255	255	0.6169934	1.0	1.0	-
11	head	SMALL	0	255	11	255	0.3405229	1.0	1.0	-
12	rock	LARGE	124	255	0	255	0.2522876	1.0	1.0	-
13	giraffe	SMALL	249	255	0	255	0.17058825	1.0	1.0	-
14	wedge	LARGE	0	222	255	255	0.5215686	1.0	1.0	-
15	chevron	MEDIUM	255	120	0	255	0.07843137	1.0	1.0	-
16	monitor	SMALL	44	0	255	255	0.69542485	1.0	1.0	-
17	crown	LARGE	97	0	255	255	0.73006535	1.0	1.0	-
18	giraffe	MEDIUM	0	201	255	255	0.5352941	1.0	1.0	-
19	temple	SMALL	0	164	255	255	0.5594771	1.0	1.0	-
20	rock	LARGE	255	113	0	255	0.073856205	1.0	1.0	-
