EVENT	ROUND	SCORE	TIME	NAME	SUBMITTER	ENTITY	REFERENT	SELECTED	SHAPE	EDGE_COUNT	SIZE	RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	POSITION_X	POSITION_Y
1	1	0	8.711	nextturn.request	A	1	false	false	mountain	7	0.01	255	95	0	255	0.0620915	1.0	1.0	0.4	0.4
1	1	0	8.711	nextturn.request	A	2	false	false	lozenge	6	0.0225	52	255	0	255	0.29934642	1.0	1.0	0.125	0.475
1	1	0	8.711	nextturn.request	A	3	false	false	bridge	12	0.04	255	0	98	255	0.9359477	1.0	1.0	0.1	0.75
1	1	0	8.711	nextturn.request	A	4	false	false	boat	9	0.0225	0	255	61	255	0.3732026	1.0	1.0	0.775	0.725
1	1	0	8.711	nextturn.request	A	5	false	false	barn	6	0.04	255	0	154	255	0.8993464	1.0	1.0	0.45	0.9
1	1	0	8.711	nextturn.request	A	6	false	false	chicken	12	0.01	71	255	0	255	0.2869281	1.0	1.0	0.55	0.6
1	1	0	8.711	nextturn.request	A	7	false	false	spikes	13	0.04	0	255	251	255	0.49738562	1.0	1.0	0.7	0.2
1	1	0	8.711	nextturn.request	A	8	false	false	goose	12	0.0225	0	131	255	255	0.5810458	1.0	1.0	0.325	0.625
1	1	0	8.711	nextturn.request	A	9	false	false	arrow	8	0.01	255	0	150	255	0.9019608	1.0	1.0	0.95	0.4
1	1	0	8.711	nextturn.request	A	10	false	false	temple	16	0.0225	0	76	255	255	0.6169934	1.0	1.0	0.525	0.425
1	1	0	8.711	nextturn.request	A	11	false	false	head	10	0.01	0	255	11	255	0.3405229	1.0	1.0	0.75	0.05
1	1	0	8.711	nextturn.request	A	12	false	false	rock	7	0.04	124	255	0	255	0.2522876	1.0	1.0	0.4	0.25
1	1	0	8.711	nextturn.request	A	13	false	false	giraffe	9	0.01	249	255	0	255	0.17058825	1.0	1.0	0.6	0.75
1	1	0	8.711	nextturn.request	A	14	false	false	wedge	6	0.04	0	222	255	255	0.5215686	1.0	1.0	0.75	0.5
1	1	0	8.711	nextturn.request	A	15	true	false	chevron	6	0.0225	255	120	0	255	0.07843137	1.0	1.0	0.125	0.125
1	1	0	8.711	nextturn.request	A	16	false	false	monitor	8	0.01	44	0	255	255	0.69542485	1.0	1.0	0.5	0.7
1	1	0	8.711	nextturn.request	A	17	false	false	crown	10	0.04	97	0	255	255	0.73006535	1.0	1.0	0.65	0.9
1	1	0	8.711	nextturn.request	A	18	false	false	giraffe	9	0.0225	0	201	255	255	0.5352941	1.0	1.0	0.925	0.775
1	1	0	8.711	nextturn.request	A	19	false	false	temple	16	0.01	0	164	255	255	0.5594771	1.0	1.0	0.85	0.2
1	1	0	8.711	nextturn.request	A	20	false	false	rock	7	0.04	255	113	0	255	0.073856205	1.0	1.0	0.15	0.3
2	1	0	14.402	selection.request	B	1	false	false	mountain	7	0.01	255	95	0	255	0.0620915	1.0	1.0	0.4	0.4
2	1	0	14.402	selection.request	B	2	false	false	lozenge	6	0.0225	52	255	0	255	0.29934642	1.0	1.0	0.125	0.475
2	1	0	14.402	selection.request	B	3	false	false	bridge	12	0.04	255	0	98	255	0.9359477	1.0	1.0	0.1	0.75
2	1	0	14.402	selection.request	B	4	false	false	boat	9	0.0225	0	255	61	255	0.3732026	1.0	1.0	0.775	0.725
2	1	0	14.402	selection.request	B	5	false	false	barn	6	0.04	255	0	154	255	0.8993464	1.0	1.0	0.45	0.9
2	1	0	14.402	selection.request	B	6	false	false	chicken	12	0.01	71	255	0	255	0.2869281	1.0	1.0	0.55	0.6
2	1	0	14.402	selection.request	B	7	false	false	spikes	13	0.04	0	255	251	255	0.49738562	1.0	1.0	0.7	0.2
2	1	0	14.402	selection.request	B	8	false	false	goose	12	0.0225	0	131	255	255	0.5810458	1.0	1.0	0.325	0.625
2	1	0	14.402	selection.request	B	9	false	false	arrow	8	0.01	255	0	150	255	0.9019608	1.0	1.0	0.95	0.4
2	1	0	14.402	selection.request	B	10	false	false	temple	16	0.0225	0	76	255	255	0.6169934	1.0	1.0	0.525	0.425
2	1	0	14.402	selection.request	B	11	false	false	head	10	0.01	0	255	11	255	0.3405229	1.0	1.0	0.75	0.05
2	1	0	14.402	selection.request	B	12	false	false	rock	7	0.04	124	255	0	255	0.2522876	1.0	1.0	0.4	0.25
2	1	0	14.402	selection.request	B	13	false	false	giraffe	9	0.01	249	255	0	255	0.17058825	1.0	1.0	0.6	0.75
2	1	0	14.402	selection.request	B	14	false	false	wedge	6	0.04	0	222	255	255	0.5215686	1.0	1.0	0.75	0.5
2	1	0	14.402	selection.request	B	15	true	true	chevron	6	0.0225	255	120	0	255	0.07843137	1.0	1.0	0.075	0.925
2	1	0	14.402	selection.request	B	16	false	false	monitor	8	0.01	44	0	255	255	0.69542485	1.0	1.0	0.5	0.7
2	1	0	14.402	selection.request	B	17	false	false	crown	10	0.04	97	0	255	255	0.73006535	1.0	1.0	0.65	0.9
2	1	0	14.402	selection.request	B	18	false	false	giraffe	9	0.0225	0	201	255	255	0.5352941	1.0	1.0	0.925	0.775
2	1	0	14.402	selection.request	B	19	false	false	temple	16	0.01	0	164	255	255	0.5594771	1.0	1.0	0.85	0.2
2	1	0	14.402	selection.request	B	20	false	false	rock	7	0.04	255	113	0	255	0.073856205	1.0	1.0	0.15	0.3
3	1	1	16.355	completedturn.request	A	1	false	false	mountain	7	0.01	255	95	0	255	0.0620915	1.0	1.0	0.4	0.4
3	1	1	16.355	completedturn.request	A	2	false	false	lozenge	6	0.0225	52	255	0	255	0.29934642	1.0	1.0	0.125	0.475
3	1	1	16.355	completedturn.request	A	3	false	false	bridge	12	0.04	255	0	98	255	0.9359477	1.0	1.0	0.1	0.75
3	1	1	16.355	completedturn.request	A	4	false	false	boat	9	0.0225	0	255	61	255	0.3732026	1.0	1.0	0.775	0.725
3	1	1	16.355	completedturn.request	A	5	false	false	barn	6	0.04	255	0	154	255	0.8993464	1.0	1.0	0.45	0.9
3	1	1	16.355	completedturn.request	A	6	false	false	chicken	12	0.01	71	255	0	255	0.2869281	1.0	1.0	0.55	0.6
3	1	1	16.355	completedturn.request	A	7	false	false	spikes	13	0.04	0	255	251	255	0.49738562	1.0	1.0	0.7	0.2
3	1	1	16.355	completedturn.request	A	8	false	false	goose	12	0.0225	0	131	255	255	0.5810458	1.0	1.0	0.325	0.625
3	1	1	16.355	completedturn.request	A	9	false	false	arrow	8	0.01	255	0	150	255	0.9019608	1.0	1.0	0.95	0.4
3	1	1	16.355	completedturn.request	A	10	false	false	temple	16	0.0225	0	76	255	255	0.6169934	1.0	1.0	0.525	0.425
3	1	1	16.355	completedturn.request	A	11	false	false	head	10	0.01	0	255	11	255	0.3405229	1.0	1.0	0.75	0.05
3	1	1	16.355	completedturn.request	A	12	false	false	rock	7	0.04	124	255	0	255	0.2522876	1.0	1.0	0.4	0.25
3	1	1	16.355	completedturn.request	A	13	false	false	giraffe	9	0.01	249	255	0	255	0.17058825	1.0	1.0	0.6	0.75
3	1	1	16.355	completedturn.request	A	14	false	false	wedge	6	0.04	0	222	255	255	0.5215686	1.0	1.0	0.75	0.5
3	1	1	16.355	completedturn.request	A	15	true	false	chevron	6	0.0225	255	120	0	255	0.07843137	1.0	1.0	0.075	0.925
3	1	1	16.355	completedturn.request	A	16	false	false	monitor	8	0.01	44	0	255	255	0.69542485	1.0	1.0	0.5	0.7
3	1	1	16.355	completedturn.request	A	17	false	false	crown	10	0.04	97	0	255	255	0.73006535	1.0	1.0	0.65	0.9
3	1	1	16.355	completedturn.request	A	18	false	false	giraffe	9	0.0225	0	201	255	255	0.5352941	1.0	1.0	0.925	0.775
3	1	1	16.355	completedturn.request	A	19	false	false	temple	16	0.01	0	164	255	255	0.5594771	1.0	1.0	0.85	0.2
3	1	1	16.355	completedturn.request	A	20	false	false	rock	7	0.04	255	113	0	255	0.073856205	1.0	1.0	0.15	0.3
4	2	1	18.621	nextturn.request	B	1	false	false	mountain	7	0.01	255	95	0	255	0.0620915	1.0	1.0	0.4	0.4
4	2	1	18.621	nextturn.request	B	2	false	false	lozenge	6	0.0225	52	255	0	255	0.29934642	1.0	1.0	0.125	0.475
4	2	1	18.621	nextturn.request	B	3	false	false	bridge	12	0.04	255	0	98	255	0.9359477	1.0	1.0	0.1	0.75
4	2	1	18.621	nextturn.request	B	4	false	false	boat	9	0.0225	0	255	61	255	0.3732026	1.0	1.0	0.775	0.725
4	2	1	18.621	nextturn.request	B	5	false	false	barn	6	0.04	255	0	154	255	0.8993464	1.0	1.0	0.45	0.9
4	2	1	18.621	nextturn.request	B	6	false	false	chicken	12	0.01	71	255	0	255	0.2869281	1.0	1.0	0.55	0.6
4	2	1	18.621	nextturn.request	B	7	false	false	spikes	13	0.04	0	255	251	255	0.49738562	1.0	1.0	0.7	0.2
4	2	1	18.621	nextturn.request	B	8	false	false	goose	12	0.0225	0	131	255	255	0.5810458	1.0	1.0	0.325	0.625
4	2	1	18.621	nextturn.request	B	9	false	false	arrow	8	0.01	255	0	150	255	0.9019608	1.0	1.0	0.95	0.4
4	2	1	18.621	nextturn.request	B	10	false	false	temple	16	0.0225	0	76	255	255	0.6169934	1.0	1.0	0.525	0.425
4	2	1	18.621	nextturn.request	B	11	false	false	head	10	0.01	0	255	11	255	0.3405229	1.0	1.0	0.75	0.05
4	2	1	18.621	nextturn.request	B	12	false	false	rock	7	0.04	124	255	0	255	0.2522876	1.0	1.0	0.4	0.25
4	2	1	18.621	nextturn.request	B	13	false	false	giraffe	9	0.01	249	255	0	255	0.17058825	1.0	1.0	0.6	0.75
4	2	1	18.621	nextturn.request	B	14	false	false	wedge	6	0.04	0	222	255	255	0.5215686	1.0	1.0	0.75	0.5
4	2	1	18.621	nextturn.request	B	15	false	false	chevron	6	0.0225	255	120	0	255	0.07843137	1.0	1.0	0.075	0.925
4	2	1	18.621	nextturn.request	B	16	true	false	monitor	8	0.01	44	0	255	255	0.69542485	1.0	1.0	0.5	0.7
4	2	1	18.621	nextturn.request	B	17	false	false	crown	10	0.04	97	0	255	255	0.73006535	1.0	1.0	0.65	0.9
4	2	1	18.621	nextturn.request	B	18	false	false	giraffe	9	0.0225	0	201	255	255	0.5352941	1.0	1.0	0.925	0.775
4	2	1	18.621	nextturn.request	B	19	false	false	temple	16	0.01	0	164	255	255	0.5594771	1.0	1.0	0.85	0.2
4	2	1	18.621	nextturn.request	B	20	false	false	rock	7	0.04	255	113	0	255	0.073856205	1.0	1.0	0.15	0.3
5	2	1	29.124	selection.request	A	1	false	false	mountain	7	0.01	255	95	0	255	0.0620915	1.0	1.0	0.4	0.4
5	2	1	29.124	selection.request	A	2	false	false	lozenge	6	0.0225	52	255	0	255	0.29934642	1.0	1.0	0.125	0.475
5	2	1	29.124	selection.request	A	3	false	false	bridge	12	0.04	255	0	98	255	0.9359477	1.0	1.0	0.1	0.75
