ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	temple	SMALL	0	41	255	255	0.6398693	1.0	1.0	-
2	bridge	MEDIUM	167	0	255	255	0.775817	1.0	1.0	-
3	spikes	LARGE	255	191	0	255	0.1248366	1.0	1.0	-
4	mountain	MEDIUM	255	195	0	255	0.12745099	1.0	1.0	-
5	monitor	SMALL	255	208	0	255	0.13594772	1.0	1.0	-
6	barn	LARGE	0	255	176	255	0.44836602	1.0	1.0	-
7	chevron	SMALL	159	255	0	255	0.22941177	1.0	1.0	-
8	head	MEDIUM	255	56	0	255	0.036601305	1.0	1.0	-
9	lozenge	LARGE	0	44	255	255	0.63790846	1.0	1.0	-
10	crown	SMALL	255	10	0	255	0.0065359473	1.0	1.0	-
11	chicken	LARGE	166	255	0	255	0.22483659	1.0	1.0	-
12	boat	MEDIUM	255	0	133	255	0.9130719	1.0	1.0	-
13	arrow	SMALL	84	0	255	255	0.7215686	1.0	1.0	-
14	rock	LARGE	255	0	173	255	0.8869281	1.0	1.0	-
15	goose	MEDIUM	255	0	207	255	0.86470586	1.0	1.0	-
16	wedge	SMALL	0	255	242	255	0.49150327	1.0	1.0	-
17	giraffe	MEDIUM	18	0	255	255	0.67843133	1.0	1.0	-
18	monitor	LARGE	0	176	255	255	0.551634	1.0	1.0	-
19	barn	MEDIUM	255	0	237	255	0.845098	1.0	1.0	-
20	head	SMALL	0	132	255	255	0.5803921	1.0	1.0	-
