END_SCORE	56
ENTITY_COUNT	20
EVENT_COUNT	168
EXPERIMENT_VERSION	2017-06-13T20:01:03Z, git commit 2b4b74f
GAME_DURATION	921.412
GAME_ID	119
INITIAL_INSTRUCTOR_ID	A
MOVE_DELAY	500
ROUND_COUNT	56
START_TIME	2017-06-16T18:47:51.972+02:00
ANNOTATOR_IDS	1,2
EXPERIMENTER_ID	2
