ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	spikes	SMALL	76	0	255	255	0.7163399	1.0	1.0	-
2	goose	MEDIUM	255	140	0	255	0.09150326	1.0	1.0	-
3	head	LARGE	32	255	0	255	0.3124183	1.0	1.0	-
4	boat	SMALL	0	218	255	255	0.52418303	1.0	1.0	-
5	crown	MEDIUM	125	255	0	255	0.251634	1.0	1.0	-
6	rock	LARGE	255	0	43	255	0.97189546	1.0	1.0	-
7	lozenge	SMALL	255	247	0	255	0.16143791	1.0	1.0	-
8	temple	MEDIUM	255	0	77	255	0.9496732	1.0	1.0	-
9	chicken	LARGE	255	0	37	255	0.97581697	1.0	1.0	-
10	barn	MEDIUM	0	255	224	255	0.47973856	1.0	1.0	-
11	chevron	LARGE	0	109	255	255	0.59542483	1.0	1.0	-
12	wedge	SMALL	0	255	105	255	0.40196076	1.0	1.0	-
13	monitor	MEDIUM	0	2	255	255	0.6653595	1.0	1.0	-
14	giraffe	LARGE	229	255	0	255	0.18366015	1.0	1.0	-
15	bridge	SMALL	255	149	0	255	0.09738562	1.0	1.0	-
16	arrow	MEDIUM	13	255	0	255	0.3248366	1.0	1.0	-
17	mountain	LARGE	255	0	3	255	0.99803925	1.0	1.0	-
18	monitor	SMALL	0	255	97	255	0.396732	1.0	1.0	-
19	barn	LARGE	87	0	255	255	0.7235294	1.0	1.0	-
20	temple	SMALL	255	0	145	255	0.90522873	1.0	1.0	-
