ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	barn	SMALL	185	255	0	255	0.21241832	1.0	1.0	-
2	chevron	MEDIUM	0	221	255	255	0.5222222	1.0	1.0	-
3	head	LARGE	0	184	255	255	0.54640526	1.0	1.0	-
4	boat	SMALL	255	135	0	255	0.0882353	1.0	1.0	-
5	arrow	MEDIUM	0	172	255	255	0.55424833	1.0	1.0	-
6	lozenge	LARGE	84	0	255	255	0.7215686	1.0	1.0	-
7	giraffe	MEDIUM	255	210	0	255	0.13725491	1.0	1.0	-
8	temple	SMALL	0	255	212	255	0.47189543	1.0	1.0	-
9	spikes	LARGE	0	9	255	255	0.6607843	1.0	1.0	-
10	chicken	MEDIUM	255	136	0	255	0.08888888	1.0	1.0	-
11	mountain	SMALL	177	255	0	255	0.21764708	1.0	1.0	-
12	monitor	LARGE	0	201	255	255	0.5352941	1.0	1.0	-
13	bridge	SMALL	255	0	245	255	0.83986926	1.0	1.0	-
14	goose	MEDIUM	0	255	254	255	0.4993464	1.0	1.0	-
15	crown	LARGE	0	255	88	255	0.39084968	1.0	1.0	-
16	wedge	MEDIUM	0	28	255	255	0.648366	1.0	1.0	-
17	rock	SMALL	86	255	0	255	0.27712417	1.0	1.0	-
18	wedge	LARGE	255	235	0	255	0.15359478	1.0	1.0	-
19	boat	MEDIUM	63	0	255	255	0.7078431	1.0	1.0	-
20	temple	SMALL	0	255	24	255	0.34901962	1.0	1.0	-
