ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	rock	LARGE	0	255	243	255	0.49215686	1.0	1.0	-
2	spikes	MEDIUM	0	23	255	255	0.651634	1.0	1.0	-
3	giraffe	SMALL	0	195	255	255	0.53921574	1.0	1.0	-
4	boat	LARGE	255	248	0	255	0.16209151	1.0	1.0	-
5	temple	MEDIUM	0	210	255	255	0.5294118	1.0	1.0	-
6	chicken	SMALL	50	0	255	255	0.69934636	1.0	1.0	-
7	barn	LARGE	127	0	255	255	0.7496732	1.0	1.0	-
8	mountain	MEDIUM	255	106	0	255	0.06928104	1.0	1.0	-
9	lozenge	SMALL	255	68	0	255	0.04444444	1.0	1.0	-
10	arrow	LARGE	255	183	0	255	0.11960784	1.0	1.0	-
11	bridge	MEDIUM	242	255	0	255	0.17516339	1.0	1.0	-
12	head	SMALL	255	100	0	255	0.06535947	1.0	1.0	-
13	chevron	LARGE	0	71	255	255	0.62026143	1.0	1.0	-
14	crown	SMALL	255	172	0	255	0.112418294	1.0	1.0	-
15	wedge	MEDIUM	87	0	255	255	0.7235294	1.0	1.0	-
16	monitor	SMALL	0	165	255	255	0.5588235	1.0	1.0	-
17	goose	MEDIUM	0	10	255	255	0.66013074	1.0	1.0	-
18	bridge	LARGE	0	122	255	255	0.5869281	1.0	1.0	-
19	head	MEDIUM	149	0	255	255	0.76405233	1.0	1.0	-
20	boat	SMALL	0	5	255	255	0.6633987	1.0	1.0	-
