ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	crown	SMALL	255	172	0	255	0.112418294	1.0	1.0	-
2	barn	LARGE	255	0	100	255	0.9346405	1.0	1.0	-
3	goose	MEDIUM	0	113	255	255	0.59281045	1.0	1.0	-
4	spikes	SMALL	0	255	190	255	0.45751634	1.0	1.0	-
5	chevron	LARGE	0	255	151	255	0.43202615	1.0	1.0	-
6	chicken	MEDIUM	173	255	0	255	0.22026145	1.0	1.0	-
7	head	LARGE	255	0	195	255	0.872549	1.0	1.0	-
8	wedge	MEDIUM	115	0	255	255	0.74183005	1.0	1.0	-
9	giraffe	SMALL	0	255	130	255	0.41830066	1.0	1.0	-
10	boat	LARGE	56	0	255	255	0.703268	1.0	1.0	-
11	lozenge	SMALL	0	255	47	255	0.3640523	1.0	1.0	-
12	monitor	MEDIUM	214	0	255	255	0.80653596	1.0	1.0	-
13	rock	LARGE	0	255	212	255	0.47189543	1.0	1.0	-
14	arrow	MEDIUM	255	15	0	255	0.009803921	1.0	1.0	-
15	mountain	SMALL	66	255	0	255	0.2901961	1.0	1.0	-
16	bridge	LARGE	0	130	255	255	0.5816994	1.0	1.0	-
17	temple	MEDIUM	143	255	0	255	0.23986928	1.0	1.0	-
18	monitor	SMALL	255	94	0	255	0.061437905	1.0	1.0	-
19	chicken	LARGE	0	255	178	255	0.4496732	1.0	1.0	-
20	head	MEDIUM	0	169	255	255	0.55620915	1.0	1.0	-
