ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	monitor	SMALL	138	0	255	255	0.7568627	1.0	1.0	-
2	chicken	LARGE	64	255	0	255	0.29150328	1.0	1.0	-
3	goose	MEDIUM	0	255	55	255	0.36928105	1.0	1.0	-
4	lozenge	LARGE	0	46	255	255	0.63660127	1.0	1.0	-
5	barn	MEDIUM	0	252	255	255	0.50196075	1.0	1.0	-
6	head	SMALL	255	65	0	255	0.042483658	1.0	1.0	-
7	rock	MEDIUM	104	255	0	255	0.2653595	1.0	1.0	-
8	crown	LARGE	0	255	223	255	0.47908497	1.0	1.0	-
9	spikes	SMALL	255	162	0	255	0.10588235	1.0	1.0	-
10	giraffe	LARGE	255	106	0	255	0.06928104	1.0	1.0	-
11	boat	MEDIUM	178	255	0	255	0.21699345	1.0	1.0	-
12	bridge	SMALL	116	0	255	255	0.7424836	1.0	1.0	-
13	arrow	LARGE	255	0	244	255	0.8405229	1.0	1.0	-
14	wedge	MEDIUM	255	193	0	255	0.1261438	1.0	1.0	-
15	temple	SMALL	0	255	237	255	0.48823527	1.0	1.0	-
16	chevron	MEDIUM	255	242	0	255	0.15816994	1.0	1.0	-
17	mountain	SMALL	255	0	131	255	0.91437906	1.0	1.0	-
18	rock	LARGE	184	0	255	255	0.7869281	1.0	1.0	-
19	chevron	MEDIUM	0	210	255	255	0.5294118	1.0	1.0	-
20	goose	SMALL	255	167	0	255	0.10915033	1.0	1.0	-
