ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	wedge	MEDIUM	0	255	177	255	0.44901958	1.0	1.0	-
2	giraffe	SMALL	209	255	0	255	0.19673204	1.0	1.0	-
3	rock	LARGE	0	137	255	255	0.5771242	1.0	1.0	-
4	barn	MEDIUM	0	205	255	255	0.53267974	1.0	1.0	-
5	boat	LARGE	86	255	0	255	0.27712417	1.0	1.0	-
6	spikes	SMALL	244	255	0	255	0.17385621	1.0	1.0	-
7	temple	LARGE	255	0	239	255	0.8437908	1.0	1.0	-
8	monitor	MEDIUM	255	0	220	255	0.85620916	1.0	1.0	-
9	lozenge	SMALL	0	143	255	255	0.5732026	1.0	1.0	-
10	arrow	MEDIUM	85	0	255	255	0.72222227	1.0	1.0	-
11	bridge	LARGE	255	52	0	255	0.033986926	1.0	1.0	-
12	mountain	SMALL	255	174	0	255	0.11372548	1.0	1.0	-
13	crown	MEDIUM	0	214	255	255	0.52679735	1.0	1.0	-
14	chicken	LARGE	0	3	255	255	0.66470593	1.0	1.0	-
15	head	SMALL	174	255	0	255	0.21960783	1.0	1.0	-
16	goose	MEDIUM	255	0	53	255	0.96535945	1.0	1.0	-
17	chevron	LARGE	0	187	255	255	0.5444445	1.0	1.0	-
18	rock	SMALL	255	0	186	255	0.8784314	1.0	1.0	-
19	barn	MEDIUM	255	122	0	255	0.07973856	1.0	1.0	-
20	spikes	SMALL	183	255	0	255	0.21372549	1.0	1.0	-
