ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	wedge	LARGE	0	255	154	255	0.43398693	1.0	1.0	-
2	crown	SMALL	255	0	64	255	0.95816994	1.0	1.0	-
3	chicken	MEDIUM	0	4	255	255	0.6640523	1.0	1.0	-
4	temple	LARGE	189	255	0	255	0.20980394	1.0	1.0	-
5	lozenge	MEDIUM	0	131	255	255	0.5810458	1.0	1.0	-
6	head	SMALL	255	0	203	255	0.86732024	1.0	1.0	-
7	goose	LARGE	255	0	132	255	0.9137255	1.0	1.0	-
8	boat	MEDIUM	140	255	0	255	0.24183007	1.0	1.0	-
9	spikes	SMALL	106	255	0	255	0.2640523	1.0	1.0	-
10	rock	MEDIUM	201	255	0	255	0.2019608	1.0	1.0	-
11	monitor	LARGE	64	0	255	255	0.70849675	1.0	1.0	-
12	giraffe	SMALL	50	255	0	255	0.3006536	1.0	1.0	-
13	bridge	LARGE	46	0	255	255	0.69673204	1.0	1.0	-
14	chevron	SMALL	203	255	0	255	0.2006536	1.0	1.0	-
15	arrow	MEDIUM	162	0	255	255	0.772549	1.0	1.0	-
16	mountain	SMALL	0	255	210	255	0.47058824	1.0	1.0	-
17	barn	MEDIUM	116	0	255	255	0.7424836	1.0	1.0	-
18	wedge	LARGE	255	0	66	255	0.95686275	1.0	1.0	-
19	chicken	MEDIUM	255	0	191	255	0.8751634	1.0	1.0	-
20	monitor	SMALL	0	3	255	255	0.66470593	1.0	1.0	-
