ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	lozenge	MEDIUM	255	0	108	255	0.92941177	1.0	1.0	-
2	temple	SMALL	127	0	255	255	0.7496732	1.0	1.0	-
3	head	LARGE	255	0	81	255	0.9470588	1.0	1.0	-
4	barn	SMALL	0	255	38	255	0.35816994	1.0	1.0	-
5	bridge	MEDIUM	18	255	0	255	0.32156864	1.0	1.0	-
6	boat	LARGE	255	0	23	255	0.98496735	1.0	1.0	-
7	crown	MEDIUM	86	0	255	255	0.72287583	1.0	1.0	-
8	goose	SMALL	255	0	145	255	0.90522873	1.0	1.0	-
9	chicken	LARGE	0	178	255	255	0.5503268	1.0	1.0	-
10	monitor	SMALL	255	0	71	255	0.9535948	1.0	1.0	-
11	chevron	MEDIUM	125	255	0	255	0.251634	1.0	1.0	-
12	giraffe	LARGE	255	0	19	255	0.98758173	1.0	1.0	-
13	rock	MEDIUM	115	255	0	255	0.25816992	1.0	1.0	-
14	mountain	SMALL	255	0	88	255	0.94248366	1.0	1.0	-
15	spikes	LARGE	255	0	173	255	0.8869281	1.0	1.0	-
16	wedge	MEDIUM	95	255	0	255	0.2712418	1.0	1.0	-
17	arrow	SMALL	101	0	255	255	0.7326798	1.0	1.0	-
18	mountain	LARGE	255	18	0	255	0.011764705	1.0	1.0	-
19	giraffe	SMALL	255	0	162	255	0.89411765	1.0	1.0	-
20	lozenge	MEDIUM	45	255	0	255	0.30392158	1.0	1.0	-
