ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	temple	MEDIUM	0	217	255	255	0.5248366	1.0	1.0	-
2	head	SMALL	255	0	13	255	0.99150324	1.0	1.0	-
3	giraffe	LARGE	0	255	183	255	0.45294118	1.0	1.0	-
4	goose	SMALL	255	196	0	255	0.12810458	1.0	1.0	-
5	mountain	LARGE	0	255	54	255	0.36862746	1.0	1.0	-
6	spikes	MEDIUM	195	255	0	255	0.20588236	1.0	1.0	-
7	crown	LARGE	255	237	0	255	0.15490197	1.0	1.0	-
8	barn	SMALL	255	250	0	255	0.1633987	1.0	1.0	-
9	chevron	MEDIUM	0	97	255	255	0.60326797	1.0	1.0	-
10	boat	SMALL	255	0	10	255	0.99346405	1.0	1.0	-
11	rock	LARGE	0	255	167	255	0.44248366	1.0	1.0	-
12	chicken	MEDIUM	255	83	0	255	0.054248363	1.0	1.0	-
13	wedge	LARGE	0	80	255	255	0.6143791	1.0	1.0	-
14	monitor	SMALL	100	0	255	255	0.7320261	1.0	1.0	-
15	lozenge	MEDIUM	255	96	0	255	0.062745094	1.0	1.0	-
16	bridge	SMALL	195	0	255	255	0.7941176	1.0	1.0	-
17	arrow	MEDIUM	0	128	255	255	0.58300656	1.0	1.0	-
18	lozenge	LARGE	115	255	0	255	0.25816992	1.0	1.0	-
19	head	MEDIUM	0	255	168	255	0.44313726	1.0	1.0	-
20	monitor	SMALL	0	54	255	255	0.6313725	1.0	1.0	-
