ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	barn	SMALL	155	0	255	255	0.76797384	1.0	1.0	-
2	boat	LARGE	255	102	0	255	0.06666666	1.0	1.0	-
3	giraffe	MEDIUM	221	0	255	255	0.81111115	1.0	1.0	-
4	crown	LARGE	255	109	0	255	0.071241826	1.0	1.0	-
5	mountain	MEDIUM	99	0	255	255	0.73137254	1.0	1.0	-
6	spikes	SMALL	0	160	255	255	0.5620915	1.0	1.0	-
7	monitor	LARGE	0	255	30	255	0.3529412	1.0	1.0	-
8	rock	MEDIUM	214	0	255	255	0.80653596	1.0	1.0	-
9	goose	SMALL	212	0	255	255	0.80522877	1.0	1.0	-
10	lozenge	LARGE	255	46	0	255	0.030065358	1.0	1.0	-
11	chicken	MEDIUM	255	0	207	255	0.86470586	1.0	1.0	-
12	arrow	SMALL	162	255	0	255	0.22745097	1.0	1.0	-
13	chevron	LARGE	0	255	120	255	0.4117647	1.0	1.0	-
14	wedge	MEDIUM	255	0	226	255	0.8522876	1.0	1.0	-
15	head	SMALL	0	10	255	255	0.66013074	1.0	1.0	-
16	bridge	MEDIUM	255	103	0	255	0.06732026	1.0	1.0	-
17	temple	LARGE	255	207	0	255	0.13529412	1.0	1.0	-
18	arrow	SMALL	0	140	255	255	0.57516336	1.0	1.0	-
19	spikes	MEDIUM	0	130	255	255	0.5816994	1.0	1.0	-
20	chevron	LARGE	255	0	84	255	0.94509804	1.0	1.0	-
