ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	bridge	SMALL	0	43	255	255	0.63856214	1.0	1.0	-
2	barn	MEDIUM	255	185	0	255	0.12091503	1.0	1.0	-
3	crown	LARGE	126	0	255	255	0.7490196	1.0	1.0	-
4	lozenge	MEDIUM	255	127	0	255	0.08300653	1.0	1.0	-
5	boat	LARGE	0	255	23	255	0.34836602	1.0	1.0	-
6	wedge	SMALL	255	15	0	255	0.009803921	1.0	1.0	-
7	chicken	LARGE	123	255	0	255	0.25294116	1.0	1.0	-
8	giraffe	MEDIUM	255	167	0	255	0.10915033	1.0	1.0	-
9	arrow	SMALL	64	0	255	255	0.70849675	1.0	1.0	-
10	monitor	MEDIUM	0	149	255	255	0.56928104	1.0	1.0	-
11	mountain	LARGE	255	0	230	255	0.8496732	1.0	1.0	-
12	temple	SMALL	255	0	72	255	0.9529412	1.0	1.0	-
13	rock	MEDIUM	0	255	28	255	0.351634	1.0	1.0	-
14	head	LARGE	46	0	255	255	0.69673204	1.0	1.0	-
15	chevron	SMALL	116	0	255	255	0.7424836	1.0	1.0	-
16	spikes	MEDIUM	255	0	157	255	0.8973856	1.0	1.0	-
17	goose	SMALL	0	255	241	255	0.49084964	1.0	1.0	-
18	barn	LARGE	255	0	109	255	0.92875814	1.0	1.0	-
19	rock	SMALL	98	0	255	255	0.7307189	1.0	1.0	-
20	boat	LARGE	31	0	255	255	0.6869281	1.0	1.0	-
