ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	boat	MEDIUM	0	107	255	255	0.5967321	1.0	1.0	-
2	lozenge	SMALL	0	164	255	255	0.5594771	1.0	1.0	-
3	temple	LARGE	255	0	22	255	0.9856209	1.0	1.0	-
4	crown	MEDIUM	204	255	0	255	0.2	1.0	1.0	-
5	head	SMALL	217	0	255	255	0.8084967	1.0	1.0	-
6	bridge	LARGE	255	20	0	255	0.013071895	1.0	1.0	-
7	arrow	MEDIUM	0	255	138	255	0.42352942	1.0	1.0	-
8	giraffe	SMALL	76	0	255	255	0.7163399	1.0	1.0	-
9	spikes	LARGE	181	255	0	255	0.2150327	1.0	1.0	-
10	rock	SMALL	0	255	181	255	0.45163396	1.0	1.0	-
11	chevron	LARGE	0	64	255	255	0.6248366	1.0	1.0	-
12	barn	MEDIUM	97	0	255	255	0.73006535	1.0	1.0	-
13	chicken	SMALL	0	255	182	255	0.45228758	1.0	1.0	-
14	goose	LARGE	255	0	25	255	0.9836601	1.0	1.0	-
15	mountain	MEDIUM	0	174	255	255	0.55294114	1.0	1.0	-
16	wedge	SMALL	255	194	0	255	0.1267974	1.0	1.0	-
17	monitor	MEDIUM	0	3	255	255	0.66470593	1.0	1.0	-
18	boat	LARGE	255	193	0	255	0.1261438	1.0	1.0	-
19	giraffe	MEDIUM	255	23	0	255	0.015032679	1.0	1.0	-
20	lozenge	LARGE	255	0	141	255	0.9078431	1.0	1.0	-
