ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	goose	MEDIUM	255	39	0	255	0.025490195	1.0	1.0	-
2	lozenge	SMALL	0	255	202	255	0.46535948	1.0	1.0	-
3	chevron	LARGE	50	255	0	255	0.3006536	1.0	1.0	-
4	wedge	SMALL	255	0	130	255	0.9150327	1.0	1.0	-
5	head	LARGE	0	83	255	255	0.61241835	1.0	1.0	-
6	temple	MEDIUM	145	0	255	255	0.7614379	1.0	1.0	-
7	mountain	LARGE	85	0	255	255	0.72222227	1.0	1.0	-
8	arrow	MEDIUM	255	148	0	255	0.09673202	1.0	1.0	-
9	monitor	SMALL	130	255	0	255	0.248366	1.0	1.0	-
10	crown	MEDIUM	162	0	255	255	0.772549	1.0	1.0	-
11	spikes	SMALL	255	0	6	255	0.99607843	1.0	1.0	-
12	chicken	LARGE	255	0	76	255	0.9503268	1.0	1.0	-
13	bridge	MEDIUM	0	255	24	255	0.34901962	1.0	1.0	-
14	giraffe	LARGE	255	0	37	255	0.97581697	1.0	1.0	-
15	barn	SMALL	0	206	255	255	0.5320261	1.0	1.0	-
16	boat	MEDIUM	0	199	255	255	0.5366013	1.0	1.0	-
17	rock	SMALL	0	13	255	255	0.6581699	1.0	1.0	-
18	lozenge	LARGE	0	211	255	255	0.5287582	1.0	1.0	-
19	boat	SMALL	83	0	255	255	0.720915	1.0	1.0	-
20	goose	MEDIUM	255	0	119	255	0.92222226	1.0	1.0	-
