ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	bridge	LARGE	58	0	255	255	0.7045751	1.0	1.0	-
2	wedge	MEDIUM	0	214	255	255	0.52679735	1.0	1.0	-
3	head	SMALL	255	0	241	255	0.84248364	1.0	1.0	-
4	arrow	LARGE	255	0	224	255	0.8535948	1.0	1.0	-
5	mountain	SMALL	255	12	0	255	0.007843137	1.0	1.0	-
6	chicken	MEDIUM	255	0	201	255	0.8686274	1.0	1.0	-
7	goose	SMALL	230	0	255	255	0.8169935	1.0	1.0	-
8	monitor	LARGE	21	255	0	255	0.31960785	1.0	1.0	-
9	crown	MEDIUM	0	212	255	255	0.52810454	1.0	1.0	-
10	giraffe	SMALL	187	0	255	255	0.7888889	1.0	1.0	-
11	chevron	LARGE	0	255	174	255	0.44705883	1.0	1.0	-
12	lozenge	MEDIUM	255	197	0	255	0.12875818	1.0	1.0	-
13	rock	LARGE	0	153	255	255	0.56666666	1.0	1.0	-
14	boat	MEDIUM	0	236	255	255	0.51241827	1.0	1.0	-
15	temple	SMALL	207	255	0	255	0.19803922	1.0	1.0	-
16	spikes	LARGE	255	52	0	255	0.033986926	1.0	1.0	-
17	barn	MEDIUM	255	0	131	255	0.91437906	1.0	1.0	-
18	crown	SMALL	101	0	255	255	0.7326798	1.0	1.0	-
19	lozenge	MEDIUM	11	0	255	255	0.6738562	1.0	1.0	-
20	arrow	SMALL	190	0	255	255	0.7908497	1.0	1.0	-
