ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	lozenge	MEDIUM	13	0	255	255	0.67516345	1.0	1.0	-
2	giraffe	LARGE	255	0	223	255	0.85424834	1.0	1.0	-
3	bridge	SMALL	0	255	229	255	0.4830065	1.0	1.0	-
4	mountain	LARGE	255	0	23	255	0.98496735	1.0	1.0	-
5	goose	SMALL	255	0	220	255	0.85620916	1.0	1.0	-
6	crown	MEDIUM	0	255	200	255	0.4640523	1.0	1.0	-
7	rock	LARGE	255	57	0	255	0.0372549	1.0	1.0	-
8	chicken	MEDIUM	115	255	0	255	0.25816992	1.0	1.0	-
9	wedge	SMALL	116	0	255	255	0.7424836	1.0	1.0	-
10	head	LARGE	0	255	253	255	0.49869278	1.0	1.0	-
11	barn	MEDIUM	166	0	255	255	0.7751634	1.0	1.0	-
12	spikes	SMALL	237	255	0	255	0.17843139	1.0	1.0	-
13	boat	MEDIUM	255	0	218	255	0.85751635	1.0	1.0	-
14	chevron	SMALL	204	255	0	255	0.2	1.0	1.0	-
15	temple	LARGE	99	0	255	255	0.73137254	1.0	1.0	-
16	monitor	SMALL	0	159	255	255	0.5627451	1.0	1.0	-
17	arrow	MEDIUM	0	102	255	255	0.59999996	1.0	1.0	-
18	giraffe	LARGE	253	0	255	255	0.8320262	1.0	1.0	-
19	crown	MEDIUM	0	255	209	255	0.4699346	1.0	1.0	-
20	barn	LARGE	82	0	255	255	0.7202614	1.0	1.0	-
