ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	giraffe	LARGE	0	104	255	255	0.59869283	1.0	1.0	-
2	temple	MEDIUM	255	99	0	255	0.06470588	1.0	1.0	-
3	barn	SMALL	255	0	112	255	0.9267974	1.0	1.0	-
4	spikes	MEDIUM	0	20	255	255	0.6535948	1.0	1.0	-
5	chicken	SMALL	255	197	0	255	0.12875818	1.0	1.0	-
6	bridge	LARGE	0	80	255	255	0.6143791	1.0	1.0	-
7	head	MEDIUM	0	113	255	255	0.59281045	1.0	1.0	-
8	rock	SMALL	255	0	23	255	0.98496735	1.0	1.0	-
9	arrow	LARGE	255	0	204	255	0.8666667	1.0	1.0	-
10	boat	MEDIUM	235	0	255	255	0.8202614	1.0	1.0	-
11	mountain	SMALL	0	255	124	255	0.4143791	1.0	1.0	-
12	goose	LARGE	255	0	59	255	0.96143794	1.0	1.0	-
13	chevron	SMALL	0	208	255	255	0.530719	1.0	1.0	-
14	lozenge	LARGE	255	0	1	255	0.9993464	1.0	1.0	-
15	monitor	MEDIUM	255	0	134	255	0.9124183	1.0	1.0	-
16	crown	LARGE	72	255	0	255	0.28627452	1.0	1.0	-
17	wedge	MEDIUM	162	0	255	255	0.772549	1.0	1.0	-
18	spikes	SMALL	100	0	255	255	0.7320261	1.0	1.0	-
19	crown	LARGE	0	255	88	255	0.39084968	1.0	1.0	-
20	head	SMALL	0	21	255	255	0.65294117	1.0	1.0	-
