ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	monitor	SMALL	0	255	29	255	0.35228756	1.0	1.0	-
2	chevron	LARGE	255	0	79	255	0.94836605	1.0	1.0	-
3	goose	MEDIUM	255	192	0	255	0.1254902	1.0	1.0	-
4	crown	LARGE	0	191	255	255	0.54183006	1.0	1.0	-
5	chicken	SMALL	0	237	255	255	0.5117647	1.0	1.0	-
6	arrow	MEDIUM	0	255	239	255	0.48954248	1.0	1.0	-
7	bridge	LARGE	237	0	255	255	0.82156867	1.0	1.0	-
8	temple	SMALL	0	255	215	255	0.4738562	1.0	1.0	-
9	giraffe	MEDIUM	96	0	255	255	0.7294118	1.0	1.0	-
10	lozenge	LARGE	255	0	42	255	0.972549	1.0	1.0	-
11	boat	SMALL	255	0	142	255	0.90718955	1.0	1.0	-
12	mountain	MEDIUM	255	0	177	255	0.8843137	1.0	1.0	-
13	barn	LARGE	190	255	0	255	0.20915031	1.0	1.0	-
14	spikes	MEDIUM	57	0	255	255	0.70392156	1.0	1.0	-
15	wedge	SMALL	0	255	68	255	0.37777779	1.0	1.0	-
16	rock	LARGE	173	255	0	255	0.22026145	1.0	1.0	-
17	head	SMALL	255	182	0	255	0.11895424	1.0	1.0	-
18	chevron	MEDIUM	255	0	109	255	0.92875814	1.0	1.0	-
19	wedge	LARGE	0	38	255	255	0.64183	1.0	1.0	-
20	spikes	MEDIUM	84	0	255	255	0.7215686	1.0	1.0	-
